Read 99996 edges, N=916396, procs=2
Iter 0 diff=0.0158512, time(s)=0.00485808
Iter 1 diff=0.00872863, time(s)=0.0041754
Iter 2 diff=0.00454943, time(s)=0.00400493
Iter 3 diff=0.00269276, time(s)=0.00398759
Iter 4 diff=0.00172763, time(s)=0.0042397
Iter 5 diff=0.00116863, time(s)=0.004513
Iter 6 diff=0.000823789, time(s)=0.00452312
Iter 7 diff=0.000598627, time(s)=0.00400355
Iter 8 diff=0.000446334, time(s)=0.00451149
Iter 9 diff=0.000339216, time(s)=0.00412528
Iter 10 diff=0.00026211, time(s)=0.00412009
Iter 11 diff=0.000205041, time(s)=0.00397307
Iter 12 diff=0.000162196, time(s)=0.00476689
Iter 13 diff=0.00012937, time(s)=0.00458641
Iter 14 diff=0.000103995, time(s)=0.00434073
Iter 15 diff=8.40758e-05, time(s)=0.00444371
Iter 16 diff=6.83545e-05, time(s)=0.00436083
Iter 17 diff=5.57974e-05, time(s)=0.00440784
Iter 18 diff=4.57381e-05, time(s)=0.00444016
Iter 19 diff=3.7602e-05, time(s)=0.00443679
Iter 20 diff=3.10102e-05, time(s)=0.00442113
Iter 21 diff=2.5629e-05, time(s)=0.00452562
Iter 22 diff=2.12342e-05, time(s)=0.00442811
Iter 23 diff=1.76219e-05, time(s)=0.00433829
Iter 24 diff=1.46527e-05, time(s)=0.00452938
Iter 25 diff=1.21999e-05, time(s)=0.00442939
Iter 26 diff=1.01741e-05, time(s)=0.00439535
Iter 27 diff=8.49404e-06, time(s)=0.00471604
Iter 28 diff=7.10055e-06, time(s)=0.00563574
Iter 29 diff=5.94066e-06, time(s)=0.00550461
Iter 30 diff=4.97581e-06, time(s)=0.00442457
Iter 31 diff=4.17054e-06, time(s)=0.00424428
Iter 32 diff=3.49887e-06, time(s)=0.00625145
Iter 33 diff=2.93713e-06, time(s)=0.00461816
Iter 34 diff=2.46753e-06, time(s)=0.00432855
Iter 35 diff=2.0741e-06, time(s)=0.00447094
Iter 36 diff=1.74456e-06, time(s)=0.00452447
Iter 37 diff=1.46796e-06, time(s)=0.00432075
Iter 38 diff=1.23596e-06, time(s)=0.00429835
Iter 39 diff=1.04104e-06, time(s)=0.00440508
Iter 40 diff=8.77273e-07, time(s)=0.00444266
Top 10 PageRank (val, node):
0: 2.72748e-05 , 32163
1: 2.6021e-05 , 614831
2: 2.52229e-05 , 943
3: 2.26225e-05 , 504140
4: 2.12157e-05 , 1560
5: 2.10375e-05 , 161158
6: 2.10375e-05 , 17754
7: 1.9882e-05 , 846221
8: 1.95812e-05 , 1337
9: 1.93766e-05 , 163075
Total time (max over ranks) = 0.186097 s
Comp time (max) = 0.0399445 s, Comm time (max) = 0.0309879 s
Iterations = 41
